tblName,colName
AR_CLASS_DOWN,SCHOOL_YEAR
AR_DOWN_ALE_DAYS,SCHOOL_YEAR
AR_DOWN_ATTEND,SCHOOL_YEAR
AR_DOWN_CAL,SCHOOL_YEAR
AR_DOWN_DISCIPLINE,SCHOOL_YEAR
AR_DOWN_DISTRICT,SCHOOL_YEAR
AR_DOWN_EC,SCHOOL_YEAR
AR_DOWN_EIS1,SCHOOL_YEAR
AR_DOWN_EIS2,SCHOOL_YEAR
AR_DOWN_EMPLOYEE,SCHOOL_YEAR
AR_DOWN_GRADUATE,SCHOOL_YEAR
AR_DOWN_HEARING,SCHOOL_YEAR
AR_DOWN_JOBASSIGN,SCHOOL_YEAR
AR_DOWN_REFERRAL,SCHOOL_YEAR
AR_DOWN_REGISTER,SCHOOL_YEAR
AR_DOWN_SCHL_AGE,SCHOOL_YEAR
AR_DOWN_SCHOOL,SCHOOL_YEAR
AR_DOWN_SCOLIOSIS,SCHOOL_YEAR
AR_DOWN_SE_STAFF,SCHOOL_YEAR
AR_DOWN_STU,SCHOOL_YEAR
AR_DOWN_STU_ID,SCHOOL_YEAR
AR_DOWN_STUDENT_GRADES,SCHOOL_YEAR
AR_DOWN_VISION,SCHOOL_YEAR
ARTB_SE_REFERRAL,SCHOOL_YEAR
ATT_AUDIT_TRAIL,SCHOOL_YEAR
ATT_BOTTOMLINE,SCHOOL_YEAR
ATT_CFG,SCHOOL_YEAR
ATT_CFG_CODES,SCHOOL_YEAR
ATT_CFG_MISS_SUB,SCHOOL_YEAR
ATT_CFG_PERIODS,SCHOOL_YEAR
ATT_CODE,SCHOOL_YEAR
ATT_CODE_BUILDING,SCHOOL_YEAR
ATT_CONFIG_PERCENT,SCHOOL_YEAR
ATT_HRM_SEATING,SCHOOL_YEAR
ATT_INTERVAL,SCHOOL_YEAR
ATT_LOCK_DATE,SCHOOL_YEAR
ATT_NOTIFY_CRIT,SCHOOL_YEAR
ATT_NOTIFY_CRIT_CD,SCHOOL_YEAR
ATT_NOTIFY_CRIT_PD,SCHOOL_YEAR
ATT_NOTIFY_ELIG_CD,SCHOOL_YEAR
ATT_NOTIFY_GROUP,SCHOOL_YEAR
ATT_NOTIFY_LANG,SCHOOL_YEAR
ATT_NOTIFY_STU_DET,SCHOOL_YEAR
ATT_NOTIFY_STU_HDR,SCHOOL_YEAR
ATT_PERIOD,SCHOOL_YEAR
ATT_STU_AT_RISK,SCHOOL_YEAR
ATT_STU_DAY_TOTALS,SCHOOL_YEAR
ATT_STU_ELIGIBLE,SCHOOL_YEAR
ATT_STU_HRM_SEAT,SCHOOL_YEAR
ATT_STU_INT_CRIT,SCHOOL_YEAR
ATT_STU_INT_GROUP,SCHOOL_YEAR
ATT_STU_INT_MEMB,SCHOOL_YEAR
ATT_TWS_TAKEN,SCHOOL_YEAR
ATT_VIEW_ABS,SCHOOL_YEAR
ATT_VIEW_CYC,SCHOOL_YEAR
ATT_VIEW_DET,SCHOOL_YEAR
ATT_VIEW_HDR,SCHOOL_YEAR
ATT_VIEW_INT,SCHOOL_YEAR
ATT_VIEW_MSE_BLDG,SCHOOL_YEAR
ATT_VIEW_PER,SCHOOL_YEAR
ATT_YREND_RUN,SCHOOL_YEAR
COTB_REPORT_PERIOD,SCHOOL_YEAR
CP_STU_FUTURE_REQ,SCHOOL_YEAR
DISC_ACT_USER,SCHOOL_YEAR
DISC_ATT_NOTIFY,SCHOOL_YEAR
DISC_INCIDENT,SCHOOL_YEAR
DISC_LINK_ISSUE,SCHOOL_YEAR
DISC_LTR_CRIT,SCHOOL_YEAR
DISC_LTR_CRIT_ACT,SCHOOL_YEAR
DISC_LTR_CRIT_ELIG,SCHOOL_YEAR
DISC_LTR_CRIT_OFF,SCHOOL_YEAR
DISC_LTR_DETAIL,SCHOOL_YEAR
DISC_LTR_HEADER,SCHOOL_YEAR
DISC_NOTES,SCHOOL_YEAR
DISC_OCCURRENCE,SCHOOL_YEAR
DISC_OFF_ACTION,SCHOOL_YEAR
DISC_OFF_CHARGE,SCHOOL_YEAR
DISC_OFF_CODE,SCHOOL_YEAR
DISC_OFF_CONVICT,SCHOOL_YEAR
DISC_OFF_DRUG,SCHOOL_YEAR
DISC_OFF_FINE,SCHOOL_YEAR
DISC_OFF_SUBCODE,SCHOOL_YEAR
DISC_OFF_WEAPON,SCHOOL_YEAR
DISC_OFFENDER,SCHOOL_YEAR
DISC_PRINT_CITATION,SCHOOL_YEAR
DISC_STU_AT_RISK,SCHOOL_YEAR
DISC_STU_ELIGIBLE,SCHOOL_YEAR
DISC_USER,SCHOOL_YEAR
DISC_VICTIM,SCHOOL_YEAR
DISC_VICTIM_ACTION,SCHOOL_YEAR
DISC_VICTIM_INJURY,SCHOOL_YEAR
DISC_WITNESS,SCHOOL_YEAR
DISC_YEAREND_RUN,SCHOOL_YEAR
FEE_GROUP_CRIT,SCHOOL_YEAR
FEE_GROUP_DET,SCHOOL_YEAR
FEE_GROUP_HDR,SCHOOL_YEAR
FEE_ITEM,SCHOOL_YEAR
FEE_STU_AUDIT,SCHOOL_YEAR
FEE_STU_GROUP,SCHOOL_YEAR
FEE_STU_ITEM,SCHOOL_YEAR
FEE_STU_PAYMENT,SCHOOL_YEAR
FEE_TEXTBOOK,SCHOOL_YEAR
FEE_TEXTBOOK_CRS,SCHOOL_YEAR
FEE_TEXTBOOK_TEA,SCHOOL_YEAR
FEE_YREND_RUN,SCHOOL_YEAR
FEETB_CATEGORY,SCHOOL_YEAR
FEETB_PAYMENT,SCHOOL_YEAR
FEETB_STU_STATUS,SCHOOL_YEAR
FEETB_SUB_CATEGORY,SCHOOL_YEAR
FEETB_UNIT_DESCR,SCHOOL_YEAR
ltdb_group_det,SCHOOL_YEAR
ltdb_group_hdr,SCHOOL_YEAR
LTDB_YEAREND_RUN,SCHOOL_YEAR
MD_ATTENDANCE_DOWN,SCHOOL_YEAR
MD_RUN,SCHOOL_YEAR
MD_SCGT_DOWN,SCHOOL_YEAR
MED_YEAREND_RUN,SCHOOL_YEAR
MR_AVERAGE_CALC,SCHOOL_YEAR
MR_AVERAGE_SETUP,SCHOOL_YEAR
MR_CLASS_SIZE,SCHOOL_YEAR
MR_CREDIT_SETUP,SCHOOL_YEAR
MR_CREDIT_SETUP_AB,SCHOOL_YEAR
MR_CREDIT_SETUP_GD,SCHOOL_YEAR
MR_CREDIT_SETUP_MK,SCHOOL_YEAR
MR_CRSEQU_DET,SCHOOL_YEAR
MR_CRSEQU_HDR,SCHOOL_YEAR
MR_CRSEQU_SETUP,SCHOOL_YEAR
MR_CRSEQU_SETUP_AB,SCHOOL_YEAR
MR_CRSEQU_SETUP_MK,SCHOOL_YEAR
MR_GB_ASMT_STU_COMP_ATTACH,SCHOOL_YEAR
MR_GB_CATEGORY_TYPE_DET,SCHOOL_YEAR
MR_GB_CATEGORY_TYPE_HDR,SCHOOL_YEAR
MR_GB_SCALE,SCHOOL_YEAR
MR_GB_SCALE_DET,SCHOOL_YEAR
MR_HONOR_ELIG_CD,SCHOOL_YEAR
MR_IMPORT_STU_CRS_HDR,SCHOOL_YEAR
MR_IPR_ELIG_CD,SCHOOL_YEAR
MR_IPR_PRINT_HDR,SCHOOL_YEAR
MR_IPR_RUN,SCHOOL_YEAR
MR_IPR_STU_AT_RISK,SCHOOL_YEAR
MR_IPR_STU_ELIGIBLE,SCHOOL_YEAR
MR_IPR_VIEW_ATT,SCHOOL_YEAR
MR_IPR_VIEW_ATT_IT,SCHOOL_YEAR
MR_IPR_VIEW_DET,SCHOOL_YEAR
MR_IPR_VIEW_HDR,SCHOOL_YEAR
MR_MARK_SUBS,SCHOOL_YEAR
MR_PRINT_HDR,SCHOOL_YEAR
MR_RC_STU_AT_RISK,SCHOOL_YEAR
MR_RC_STU_ATT_VIEW,SCHOOL_YEAR
MR_RC_STU_ELIGIBLE,SCHOOL_YEAR
MR_RC_VIEW_ALT_LANG,SCHOOL_YEAR
MR_RC_VIEW_ATT,SCHOOL_YEAR
MR_RC_VIEW_ATT_INT,SCHOOL_YEAR
MR_RC_VIEW_DET,SCHOOL_YEAR
MR_RC_VIEW_GPA,SCHOOL_YEAR
MR_RC_VIEW_GRD_SC,SCHOOL_YEAR
MR_RC_VIEW_HDR,SCHOOL_YEAR
MR_RC_VIEW_HONOR,SCHOOL_YEAR
MR_RC_VIEW_LTDB,SCHOOL_YEAR
MR_RC_VIEW_MPS,SCHOOL_YEAR
MR_RC_VIEW_SC_MP,SCHOOL_YEAR
MR_RC_VIEW_SP,SCHOOL_YEAR
MR_RC_VIEW_SP_COLS,SCHOOL_YEAR
MR_RC_VIEW_SP_MP,SCHOOL_YEAR
MR_RC_VIEW_STUCMP,SCHOOL_YEAR
MR_SC_COMP_COMS,SCHOOL_YEAR
MR_SC_COMP_CRS,SCHOOL_YEAR
MR_SC_COMP_DET,SCHOOL_YEAR
MR_SC_COMP_DET_ALT_LANG,SCHOOL_YEAR
MR_SC_COMP_HDR,SCHOOL_YEAR
MR_SC_COMP_MRKS,SCHOOL_YEAR
MR_SC_COMP_STU,SCHOOL_YEAR
MR_SC_ST_STANDARD,SCHOOL_YEAR
MR_SC_STU_COMMENT,SCHOOL_YEAR
MR_SC_STU_COMP,SCHOOL_YEAR
MR_SC_STU_CRS_COMM,SCHOOL_YEAR
MR_SC_STU_CRS_COMP,SCHOOL_YEAR
MR_SC_STU_TAKEN,SCHOOL_YEAR
MR_SC_STU_TEA,SCHOOL_YEAR
MR_SC_STU_TEA_XREF,SCHOOL_YEAR
MR_SC_STU_TEXT,SCHOOL_YEAR
MR_SC_STUSTU_TAKEN,SCHOOL_YEAR
MR_SC_TEA_COMP,SCHOOL_YEAR
MR_STATE_COURSES,SCHOOL_YEAR
MR_STU_COMMENTS,SCHOOL_YEAR
MR_STU_CRSEQU_ABS,SCHOOL_YEAR
MR_STU_CRSEQU_CRD,SCHOOL_YEAR
MR_STU_CRSEQU_MARK,SCHOOL_YEAR
MR_STU_GPA,SCHOOL_YEAR
MR_STU_HONOR,SCHOOL_YEAR
MR_STU_OUT_COURSE,SCHOOL_YEAR
MR_STU_TEXT,SCHOOL_YEAR
MR_STU_XFER_BLDGS,SCHOOL_YEAR
MR_STU_XFER_RUNS,SCHOOL_YEAR
MR_TRN_PRINT_HDR,SCHOOL_YEAR
MR_TRN_PRT_STU_BRK,SCHOOL_YEAR
MR_TRN_PRT_STU_DET,SCHOOL_YEAR
MR_TX_CREDIT_SETUP,SCHOOL_YEAR
MR_YEAREND_RUN,SCHOOL_YEAR
PP_MONTH_DAYS,SCHOOL_YEAR
PP_STUDENT_CACHE,SCHOOL_YEAR
PP_STUDENT_TEMP,SCHOOL_YEAR
REG_ACT_PREREQ,SCHOOL_YEAR
REG_ACTIVITY_ADV,SCHOOL_YEAR
REG_ACTIVITY_DET,SCHOOL_YEAR
REG_ACTIVITY_ELIG,SCHOOL_YEAR
REG_ACTIVITY_HDR,SCHOOL_YEAR
REG_ACTIVITY_INEL,SCHOOL_YEAR
REG_ACTIVITY_MP,SCHOOL_YEAR
REG_CAL_DAYS,SCHOOL_YEAR
REG_CAL_DAYS_LEARNING_LOC,SCHOOL_YEAR
REG_CALENDAR,SCHOOL_YEAR
REG_CFG,SCHOOL_YEAR
REG_CFG_ALERT,SCHOOL_YEAR
REG_CFG_ALERT_CODE,SCHOOL_YEAR
REG_CFG_ALERT_DEF_CRIT,SCHOOL_YEAR
REG_CFG_ALERT_DEFINED,SCHOOL_YEAR
REG_CFG_ALERT_UDS_CRIT_KTY,SCHOOL_YEAR
REG_CFG_ALERT_UDS_KTY,SCHOOL_YEAR
REG_CFG_ALERT_USER,SCHOOL_YEAR
REG_CFG_EW_APPLY,SCHOOL_YEAR
REG_CFG_EW_COMBO,SCHOOL_YEAR
REG_CFG_EW_COND,SCHOOL_YEAR
REG_CFG_EW_REQ_ENT,SCHOOL_YEAR
REG_CFG_EW_REQ_FLD,SCHOOL_YEAR
REG_CFG_EW_REQ_WD,SCHOOL_YEAR
REG_CFG_EW_REQUIRE,SCHOOL_YEAR
REG_CYCLE,SCHOOL_YEAR
REG_DISTRICT,SCHOOL_YEAR
REG_DURATION,SCHOOL_YEAR
REG_ENTRY_WITH,SCHOOL_YEAR
REG_EVENT_ACTIVITY,SCHOOL_YEAR
REG_GEO_PLAN_AREA,SCHOOL_YEAR
REG_GEO_ZONE_DATES,SCHOOL_YEAR
REG_GEO_ZONE_DET,SCHOOL_YEAR
REG_GEO_ZONE_HDR,SCHOOL_YEAR
REG_MP_DATES,SCHOOL_YEAR
REG_MP_WEEKS,SCHOOL_YEAR
REG_TRACK,SCHOOL_YEAR
REG_USER_PLAN_AREA,SCHOOL_YEAR
REG_YREND_RUN,SCHOOL_YEAR
REG_YREND_RUN_CAL,SCHOOL_YEAR
REG_YREND_RUN_CRIT,SCHOOL_YEAR
REG_YREND_STUDENTS,SCHOOL_YEAR
REGPROG_YREND_RUN,SCHOOL_YEAR
REGPROG_YREND_TABS,SCHOOL_YEAR
REGTB_SCHOOL_YEAR,SCHOOL_YEAR
SCHD_CFG,SCHOOL_YEAR
SCHD_CFG_DISC_OFF,SCHOOL_YEAR
SCHD_CFG_ELEM_AIN,SCHOOL_YEAR
SCHD_CFG_FOCUS_CRT,SCHOOL_YEAR
SCHD_CFG_HOUSETEAM,SCHOOL_YEAR
SCHD_CFG_HRM_AIN,SCHOOL_YEAR
SCHD_CFG_INTERVAL,SCHOOL_YEAR
SCHD_MS,SCHOOL_YEAR
SCHD_MS_SCHEDULE,SCHOOL_YEAR
SCHD_MSB_MEET_HDR,SCHOOL_YEAR
SCHD_PARAMS,SCHOOL_YEAR
SCHD_PARAMS_SORT,SCHOOL_YEAR
SCHD_PERIOD,SCHOOL_YEAR
SCHD_RUN,SCHOOL_YEAR
SCHD_SCAN_REQUEST,SCHOOL_YEAR
SCHD_STU_PREREQOVER,SCHOOL_YEAR
SCHD_STU_RECOMMEND,SCHOOL_YEAR
SCHD_STU_REQ,SCHOOL_YEAR
SCHD_STU_REQ_MP,SCHOOL_YEAR
SCHD_STU_STATUS,SCHOOL_YEAR
SCHD_TIMETABLE,SCHOOL_YEAR
SCHD_TIMETABLE_HDR,SCHOOL_YEAR
SCHD_UNSCANNED,SCHOOL_YEAR
SCHD_YREND_RUN,SCHOOL_YEAR
SEC_USER,SCHOOL_YEAR
SIF_GUID_ATT_CLASS,SCHOOL_YEAR
SIF_GUID_ATT_CODE,SCHOOL_YEAR
SIF_GUID_ATT_DAILY,SCHOOL_YEAR
SIF_GUID_CALENDAR_SUMMARY,SCHOOL_YEAR
SIF_GUID_REG_EW,SCHOOL_YEAR
SIF_GUID_TERM,SCHOOL_YEAR
SPI_CONFIG_EXTENSION_ENVIRONMENT,SCHOOL_YEAR
SSP_YEAREND_RUN,SCHOOL_YEAR
STATE_OCR_BLDG_CFG,SCHOOL_YEAR
STATE_OCR_BLDG_MARK_TYPE,SCHOOL_YEAR
STATE_OCR_BLDG_RET_EXCLUDED_CALENDAR,SCHOOL_YEAR
STATE_OCR_DETAIL,SCHOOL_YEAR
STATE_OCR_DIST_ATT,SCHOOL_YEAR
STATE_OCR_DIST_CFG,SCHOOL_YEAR
STATE_OCR_DIST_COM,SCHOOL_YEAR
STATE_OCR_DIST_DISC,SCHOOL_YEAR
STATE_OCR_DIST_EXP,SCHOOL_YEAR
STATE_OCR_DIST_LTDB_TEST,SCHOOL_YEAR
STATE_OCR_DIST_STU_DISC_XFER,SCHOOL_YEAR
STATE_OCR_NON_STU_DET,SCHOOL_YEAR
STATE_OCR_QUESTION,SCHOOL_YEAR
STATE_OCR_SUMMARY,SCHOOL_YEAR
Statetb_Ocr_Record_types,school_year
TAC_ISSUE,SCHOOL_YEAR
TAC_SEAT_HRM_DET,SCHOOL_YEAR
TAC_SEAT_HRM_HDR,SCHOOL_YEAR
TAC_SEAT_PER_DET,SCHOOL_YEAR
TAC_SEAT_PER_HDR,SCHOOL_YEAR
